cell_id,region,hour,active_users,traffic_mbps,capacity_mbps,utilization_pct,throughput_mbps,latency_ms,drop_rate_pct,packet_loss_pct,rsrp_dbm,sinr_db,coverage_status,qos_class,distance_km
ADD-01,Addis Ababa,0,20,27.3,80,34.1,74.2,14.8,0.0,0.01,-86.2,16.6,Fair,Good,2.0
ADD-01,Addis Ababa,1,18,19.9,80,24.9,74.9,15.6,0.03,0.0,-85.9,17.4,Fair,Good,2.0
ADD-01,Addis Ababa,2,16,24.1,80,30.1,76.2,18.0,0.0,0.0,-86.6,18.0,Fair,Good,2.0
ADD-01,Addis Ababa,3,14,21.1,80,26.4,75.2,12.5,0.08,0.0,-83.5,18.6,Good,Excellent,2.0
ADD-01,Addis Ababa,4,16,23.0,80,28.8,76.3,17.0,0.11,0.0,-90.8,16.2,Fair,Good,2.0
ADD-01,Addis Ababa,5,18,30.2,80,37.8,74.3,14.5,0.0,0.0,-89.3,19.1,Fair,Good,2.0
ADD-01,Addis Ababa,6,18,20.0,80,25.0,77.0,19.9,0.03,0.06,-84.6,16.6,Good,Excellent,2.0
ADD-01,Addis Ababa,7,20,26.4,80,33.0,72.9,17.9,0.0,0.09,-83.3,19.9,Good,Excellent,2.0
ADD-01,Addis Ababa,8,25,31.3,80,39.1,76.3,15.7,0.4,0.06,-86.3,16.6,Fair,Good,2.0
ADD-01,Addis Ababa,9,26,38.0,80,47.5,76.3,17.8,0.11,0.07,-89.1,18.3,Fair,Good,2.0
ADD-01,Addis Ababa,10,24,27.9,80,34.9,77.9,15.4,0.0,0.0,-89.2,17.7,Fair,Good,2.0
ADD-01,Addis Ababa,11,20,25.3,80,31.6,76.3,12.3,0.29,0.09,-88.9,16.5,Fair,Good,2.0
ADD-01,Addis Ababa,12,18,21.6,80,27.0,74.7,15.6,0.0,0.0,-85.3,15.8,Fair,Good,2.0
ADD-01,Addis Ababa,13,24,28.5,80,35.6,75.8,15.3,0.22,0.16,-86.1,18.5,Fair,Good,2.0
ADD-01,Addis Ababa,14,24,34.4,80,43.0,73.4,14.0,0.0,0.11,-87.6,18.3,Fair,Good,2.0
ADD-01,Addis Ababa,15,22,33.4,80,41.8,77.4,13.1,0.0,0.09,-86.9,19.3,Fair,Good,2.0
ADD-01,Addis Ababa,16,32,51.3,80,64.1,76.4,15.4,0.0,0.06,-83.4,19.3,Good,Excellent,2.0
ADD-01,Addis Ababa,17,39,66.2,80,82.8,68.5,37.1,0.61,0.13,-85.8,17.7,Fair,Good,2.0
ADD-01,Addis Ababa,18,41,66.0,80,82.5,70.1,35.8,0.43,0.0,-84.1,19.7,Good,Good,2.0
ADD-01,Addis Ababa,19,37,51.7,80,64.6,77.7,23.0,0.06,0.0,-87.0,16.3,Fair,Good,2.0
ADD-01,Addis Ababa,20,43,53.8,80,67.2,77.8,22.4,0.0,0.0,-85.3,18.1,Fair,Good,2.0
ADD-01,Addis Ababa,21,41,66.4,80,83.0,71.7,37.9,0.21,0.05,-86.0,14.6,Fair,Good,2.0
ADD-01,Addis Ababa,22,45,64.4,80,80.5,69.7,33.0,0.24,0.02,-85.2,17.2,Fair,Good,2.0
ADD-01,Addis Ababa,23,28,37.4,80,46.8,74.3,12.9,0.13,0.01,-88.5,20.1,Fair,Good,2.0
ADD-02,Addis Ababa,0,14,22.2,100,22.2,96.1,19.4,0.14,0.1,-81.0,23.8,Good,Excellent,1.24
ADD-02,Addis Ababa,1,21,27.8,100,27.8,94.9,14.4,0.0,0.03,-81.7,16.7,Good,Excellent,1.24
ADD-02,Addis Ababa,2,17,19.1,100,19.1,95.1,12.8,0.0,0.05,-83.1,19.6,Good,Excellent,1.24
ADD-02,Addis Ababa,3,18,20.4,100,20.4,97.7,18.5,0.0,0.04,-76.8,20.8,Good,Excellent,1.24
ADD-02,Addis Ababa,4,15,18.9,100,18.9,96.0,18.6,0.0,0.0,-83.8,17.8,Good,Excellent,1.24
ADD-02,Addis Ababa,5,13,18.6,100,18.6,95.8,21.0,0.0,0.15,-80.0,19.9,Good,Excellent,1.24
ADD-02,Addis Ababa,6,16,24.9,100,24.9,93.1,15.8,0.0,0.0,-81.1,19.2,Good,Excellent,1.24
ADD-02,Addis Ababa,7,16,21.4,100,21.4,94.7,14.6,0.01,0.19,-78.7,20.0,Good,Excellent,1.24
